ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest
P208,zoe.perez223@learners.net,Zoe,Perez,2007-01-02,participant,801-816-9341,St. George,UT,84204.0,Cafe Rio,STEM
P209,mia.williams224@studentmail.org,Mia,Williams,2008-04-01,participant,801-685-9508,Lehi,UT,84824.0,North Summit High,Both
P210,daniel.rodriguez225@learners.net,Daniel,Rodriguez,2011-04-26,participant,801-602-5902,Lehi,UT,84167.0,UVU,Both
P211,daniel.wright226@community.org,Daniel,Wright,2005-06-06,participant,801-217-7035,Murray,UT,84487.0,Tech Apprenticeship,STEM
P212,oliver.nguyen227@learners.net,Oliver,Nguyen,2012-09-14,participant,801-685-5350,Salt Lake City,UT,84612.0,Retail Store,Both
P213,madison.brown228@community.org,Madison,Brown,2001-04-25,participant,801-844-7229,Orem,UT,84537.0,Community Center,Both
P214,addison.williams229@ellarises.org,Addison,Williams,2007-05-24,participant,801-651-6139,Sandy,UT,84020.0,North Summit High,Arts
P215,grace.clark230@community.org,Grace,Clark,2002-08-26,participant,801-341-9498,Provo,UT,84723.0,Cafe Rio,Arts
P216,levi.king231@community.org,Levi,King,2009-12-16,participant,801-377-8531,Lehi,UT,84980.0,UVU,Both
P217,stella.taylor232@community.org,Stella,Taylor,2010-07-08,participant,801-452-5571,Sandy,UT,84981.0,BYU,STEM
P218,brooklyn.jackson233@studentmail.org,Brooklyn,Jackson,2010-07-28,participant,801-691-6714,Spanish Fork,UT,84325.0,Startup Lab,Both
P219,penelope.jackson234@ellarises.org,Penelope,Jackson,2001-04-14,participant,801-604-6654,Bountiful,UT,84918.0,BYU,STEM
P220,aurora.garcia235@learners.net,Aurora,Garcia,2002-10-19,participant,801-462-8849,Riverton,UT,84672.0,Valley Charter,Both
P221,paisley.scott236@learners.net,Paisley,Scott,2003-06-10,participant,801-830-4920,St. George,UT,84112.0,Westview High,Both
P222,mason.anderson237@studentmail.org,Mason,Anderson,2014-02-02,participant,801-623-6411,Provo,UT,84103.0,Mountain View High,STEM
P223,camila.smith238@studentmail.org,Camila,Smith,2012-08-04,participant,801-687-8822,Taylorsville,UT,84669.0,Valley Charter,Arts
P224,claire.jackson239@ellarises.org,Claire,Jackson,2010-01-01,participant,801-787-4804,Ogden,UT,84668.0,Art Studio,Both
P225,isabella.lopez240@community.org,Isabella,Lopez,2009-02-10,participant,801-237-7504,Orem,UT,84957.0,North Summit High,Both
P226,savannah.williams241@ellarises.org,Savannah,Williams,2005-07-07,participant,801-817-2758,Murray,UT,84582.0,BYU,Arts
P227,ethan.king242@community.org,Ethan,King,2004-02-14,participant,801-716-8668,St. George,UT,84872.0,Valley Charter,STEM
P228,skylar.hernandez243@community.org,Skylar,Hernandez,2014-07-10,participant,801-390-1230,Layton,UT,84736.0,UVU,Arts
P229,zoey.lopez244@community.org,Zoey,Lopez,2006-12-28,participant,801-535-2421,Taylorsville,UT,84528.0,Tech Apprenticeship,STEM
P230,riley.rodriguez245@community.org,Riley,Rodriguez,2003-11-07,participant,801-454-1111,Lehi,UT,84959.0,SLCC,STEM
P231,lucas.moore246@learners.net,Lucas,Moore,2003-11-13,participant,801-940-1187,Murray,UT,84597.0,Tech Apprenticeship,Arts
P232,lillian.brown247@ellarises.org,Lillian,Brown,2013-05-22,participant,801-363-7642,Riverton,UT,84315.0,Cafe Rio,Both
P233,bella.davis248@learners.net,Bella,Davis,2000-12-30,participant,801-426-4590,Draper,UT,84630.0,Mountain View High,STEM
P234,hannah.thomas250@ellarises.org,Hannah,Thomas,1999-10-02,participant,801-740-6927,Pleasant Grove,UT,84458.0,Startup Lab,Both
P235,ella.brown251@studentmail.org,Ella,Brown,2007-11-29,participant,801-535-9525,St. George,UT,84169.0,East Ridge Middle,Both
P236,grace.nguyen252@community.org,Grace,Nguyen,1999-04-01,participant,801-722-8298,Ogden,UT,84921.0,Mountain View High,STEM
P237,daniel.clark253@community.org,Daniel,Clark,2014-03-23,participant,801-673-6049,Provo,UT,84573.0,Westview High,Arts
P238,eleanor.smith254@studentmail.org,Eleanor,Smith,2013-09-16,participant,801-633-6644,Ogden,UT,84047.0,East Ridge Middle,Both
P239,amelia.jones255@community.org,Amelia,Jones,2001-01-14,participant,801-618-3948,Provo,UT,84294.0,Retail Store,Both
P240,oliver.white256@community.org,Oliver,White,1999-10-20,participant,801-586-7154,Riverton,UT,84891.0,Tech Apprenticeship,Both
P241,ethan.rodriguez257@learners.net,Ethan,Rodriguez,2009-11-11,participant,801-750-7439,Logan,UT,84183.0,North Summit High,Both
P242,victoria.smith258@ellarises.org,Victoria,Smith,2007-07-07,participant,801-889-9920,Murray,UT,84475.0,Cafe Rio,Arts
P243,madison.thomas259@community.org,Madison,Thomas,2014-04-06,participant,801-482-4088,Draper,UT,84159.0,Retail Store,STEM
P244,isabella.clark260@ellarises.org,Isabella,Clark,2011-04-28,participant,801-268-2653,West Jordan,UT,84212.0,Westview High,Arts
P245,charlotte.thomas261@ellarises.org,Charlotte,Thomas,2002-11-15,participant,801-439-9843,Bountiful,UT,84450.0,Retail Store,STEM
P246,camila.allen262@learners.net,Camila,Allen,2010-12-14,participant,801-949-6224,West Jordan,UT,84836.0,Local Library,Both
P247,claire.thomas263@learners.net,Claire,Thomas,2007-04-11,participant,801-733-4621,St. George,UT,84677.0,BYU,Arts
P248,amelia.scott264@studentmail.org,Amelia,Scott,2005-09-22,participant,801-707-1768,Taylorsville,UT,84570.0,Tech Apprenticeship,Both
P249,leah.king265@learners.net,Leah,King,2006-06-11,participant,801-352-5913,Taylorsville,UT,84419.0,North Summit High,Both
P250,jack.thomas266@studentmail.org,Jack,Thomas,2008-05-21,participant,801-924-3365,Murray,UT,84879.0,Startup Lab,STEM
P251,noah.clark267@studentmail.org,Noah,Clark,2005-05-29,participant,801-461-4331,Bountiful,UT,84249.0,Tech Apprenticeship,STEM
P252,lucas.white268@ellarises.org,Lucas,White,2013-02-09,participant,801-474-7179,Sandy,UT,84053.0,Local Library,Both
P253,mia.jones269@studentmail.org,Mia,Jones,2004-10-19,participant,801-413-6455,Sandy,UT,84491.0,Startup Lab,STEM
P254,hannah.gonzalez270@ellarises.org,Hannah,Gonzalez,2006-11-24,participant,801-448-4350,Spanish Fork,UT,84937.0,Startup Lab,STEM
P255,claire.jackson271@community.org,Claire,Jackson,2004-12-01,participant,801-864-6886,Riverton,UT,84547.0,BYU,Arts
P256,daniel.young272@community.org,Daniel,Young,2005-03-08,participant,801-939-8692,Logan,UT,84823.0,Startup Lab,STEM
P257,zoe.lee273@community.org,Zoe,Lee,1998-05-13,participant,801-426-3390,Provo,UT,84577.0,BYU,Both
P258,oliver.jackson274@studentmail.org,Oliver,Jackson,2010-10-12,participant,801-435-7223,Sandy,UT,84338.0,Community Center,STEM
P259,jackson.scott275@learners.net,Jackson,Scott,2008-05-03,participant,801-700-9037,Layton,UT,84782.0,North Summit High,Both
P260,stella.hernandez276@studentmail.org,Stella,Hernandez,2009-10-02,participant,801-755-1962,Spanish Fork,UT,84189.0,Westview High,STEM
P261,charlotte.smith277@community.org,Charlotte,Smith,1999-07-11,participant,801-845-4791,St. George,UT,84863.0,Art Studio,STEM
P262,olivia.wilson278@community.org,Olivia,Wilson,2012-10-14,participant,801-832-8916,Draper,UT,84062.0,Mountain View High,STEM
P263,ava.wright279@community.org,Ava,Wright,2010-01-06,participant,801-742-5501,Salt Lake City,UT,84018.0,BYU,STEM
P264,mateo.ramirez280@studentmail.org,Mateo,Ramirez,2001-05-04,participant,801-298-9591,Logan,UT,84941.0,Valley Charter,STEM
P265,mason.taylor281@learners.net,Mason,Taylor,2006-05-15,participant,801-606-2294,Layton,UT,84815.0,SLCC,Arts
P266,addison.anderson282@learners.net,Addison,Anderson,2000-02-05,participant,801-865-1519,Ogden,UT,84670.0,SLCC,Arts
P267,leah.scott283@community.org,Leah,Scott,1999-11-09,participant,801-209-3807,Provo,UT,84653.0,Mountain View High,Arts
P268,skylar.torres284@ellarises.org,Skylar,Torres,2002-09-28,participant,801-243-4764,Pleasant Grove,UT,84942.0,Startup Lab,Both
P269,jack.moore285@ellarises.org,Jack,Moore,2010-08-22,participant,801-487-9897,Ogden,UT,84701.0,Tech Apprenticeship,STEM
P270,layla.lee286@ellarises.org,Layla,Lee,1999-09-23,participant,801-347-7525,Sandy,UT,84602.0,BYU,STEM
P271,lillian.torres287@community.org,Lillian,Torres,2013-06-17,participant,801-973-3292,Lehi,UT,84394.0,Art Studio,STEM
P272,mateo.thompson288@ellarises.org,Mateo,Thompson,2005-08-22,participant,801-437-2245,Logan,UT,84448.0,Local Library,Both
P273,james.lee289@ellarises.org,James,Lee,2003-02-12,participant,801-661-9038,Layton,UT,84803.0,UVU,Both
P274,leah.ramirez290@studentmail.org,Leah,Ramirez,2003-07-12,participant,801-990-5839,Bountiful,UT,84088.0,Art Studio,STEM
P275,abigail.moore291@studentmail.org,Abigail,Moore,2014-08-04,participant,801-849-3527,Bountiful,UT,84729.0,SLCC,Arts
P276,natalie.miller292@ellarises.org,Natalie,Miller,2006-01-27,participant,801-515-8286,Salt Lake City,UT,84966.0,Retail Store,Arts
P277,mila.rodriguez293@ellarises.org,Mila,Rodriguez,2007-02-25,participant,801-659-9395,Orem,UT,84442.0,East Ridge Middle,STEM
P278,emily.thompson294@ellarises.org,Emily,Thompson,2004-07-18,participant,801-594-1202,Lehi,UT,84885.0,SLCC,Arts
P279,abigail.scott295@studentmail.org,Abigail,Scott,2001-10-20,participant,801-901-7237,Pleasant Grove,UT,84174.0,North Summit High,Arts
P280,brooklyn.moore296@community.org,Brooklyn,Moore,2004-03-10,participant,801-371-8121,St. George,UT,84065.0,SLCC,Arts
P281,levi.jones297@learners.net,Levi,Jones,2011-04-27,participant,801-452-9123,Layton,UT,84967.0,Local Library,STEM
P282,benjamin.miller298@studentmail.org,Benjamin,Miller,2011-11-29,participant,801-605-6443,Murray,UT,84007.0,SLCC,Arts
P283,henry.perez299@community.org,Henry,Perez,2008-09-29,participant,801-528-4290,St. George,UT,84308.0,UVU,STEM
P284,james.lee300@learners.net,James,Lee,2005-04-23,participant,801-789-4971,Spanish Fork,UT,84991.0,SLCC,Arts
P285,james.white301@ellarises.org,James,White,2013-04-16,participant,801-758-3947,Sandy,UT,84607.0,Retail Store,Both
P286,sophia.robinson302@studentmail.org,Sophia,Robinson,2007-03-06,participant,801-498-2133,Riverton,UT,84817.0,Tech Apprenticeship,Arts
P287,camila.martin303@studentmail.org,Camila,Martin,2006-06-16,participant,801-357-7932,Layton,UT,84675.0,East Ridge Middle,Arts
P288,levi.nguyen304@community.org,Levi,Nguyen,2010-03-12,participant,801-908-7853,Pleasant Grove,UT,84946.0,Westview High,Arts
P289,sebastian.hill305@ellarises.org,Sebastian,Hill,2001-09-24,participant,801-454-6816,Logan,UT,84788.0,Tech Apprenticeship,Both
P290,mia.torres306@community.org,Mia,Torres,1998-03-28,participant,801-640-2735,Lehi,UT,84989.0,East Ridge Middle,Arts
P291,victoria.allen307@studentmail.org,Victoria,Allen,2013-03-29,participant,801-600-8586,Riverton,UT,84384.0,Local Library,Both
P292,mateo.martinez308@learners.net,Mateo,Martinez,2007-05-01,participant,801-307-5840,Salt Lake City,UT,84495.0,Startup Lab,STEM
P293,ella.martinez309@learners.net,Ella,Martinez,2009-09-08,participant,801-666-4389,Murray,UT,84352.0,Mountain View High,Arts
P294,jack.miller310@community.org,Jack,Miller,1999-01-02,participant,801-268-5919,Riverton,UT,84327.0,Retail Store,Both
P295,ella.johnson311@learners.net,Ella,Johnson,2009-07-29,participant,801-368-4996,Logan,UT,84694.0,North Summit High,Both
P296,lily.perez312@community.org,Lily,Perez,2002-03-07,participant,801-614-4022,Riverton,UT,84238.0,Tech Apprenticeship,Both
P297,william.sanchez313@ellarises.org,William,Sanchez,2006-09-21,participant,801-806-8037,Sandy,UT,84461.0,Westview High,Both
P298,hannah.wilson314@learners.net,Hannah,Wilson,2002-03-12,participant,801-304-9796,Ogden,UT,84592.0,UVU,Arts
P299,nora.robinson315@ellarises.org,Nora,Robinson,2012-05-02,participant,801-701-9646,Layton,UT,84687.0,UVU,Both
P300,hazel.flores316@community.org,Hazel,Flores,2011-11-06,participant,801-560-8501,Logan,UT,84357.0,North Summit High,Both
P301,brooklyn.flores317@ellarises.org,Brooklyn,Flores,2004-11-06,participant,801-320-4908,St. George,UT,84321.0,East Ridge Middle,STEM
P302,zoe.martinez318@community.org,Zoe,Martinez,2007-06-28,participant,801-341-7286,Taylorsville,UT,84611.0,North Summit High,Arts
P303,sebastian.lopez319@studentmail.org,Sebastian,Lopez,2005-01-21,participant,801-343-4065,Spanish Fork,UT,84296.0,Community Center,Arts
P304,charlotte.thompson320@ellarises.org,Charlotte,Thompson,2010-08-06,participant,801-399-7290,Spanish Fork,UT,84140.0,Cafe Rio,Both
P305,jackson.clark321@community.org,Jackson,Clark,2001-10-02,participant,801-654-9006,Taylorsville,UT,84728.0,East Ridge Middle,Both
P306,sophia.anderson322@learners.net,Sophia,Anderson,2004-06-22,participant,801-430-9808,Provo,UT,84282.0,North Summit High,Arts
P307,jackson.scott323@ellarises.org,Jackson,Scott,2006-03-25,participant,801-993-9898,Logan,UT,84275.0,Cafe Rio,STEM
P308,henry.wright324@studentmail.org,Henry,Wright,2004-09-04,participant,801-953-5055,Taylorsville,UT,84105.0,Community Center,STEM
P309,lucas.taylor325@learners.net,Lucas,Taylor,2002-09-16,participant,801-320-4882,Ogden,UT,84450.0,Retail Store,Both
P310,kennedy.flores326@community.org,Kennedy,Flores,2002-08-23,participant,801-342-4385,Orem,UT,84631.0,Retail Store,STEM
P311,kennedy.wright327@learners.net,Kennedy,Wright,2004-06-28,participant,801-920-5794,Orem,UT,84332.0,Local Library,Arts
P312,daniel.miller328@studentmail.org,Daniel,Miller,2012-09-17,participant,801-260-5543,Taylorsville,UT,84941.0,North Summit High,Both
P313,sofia.thomas329@studentmail.org,Sofia,Thomas,2008-12-23,participant,801-453-7434,Lehi,UT,84849.0,North Summit High,Both
P314,paisley.clark330@community.org,Paisley,Clark,2007-01-14,participant,801-848-2525,Riverton,UT,84078.0,Cafe Rio,Both
P315,penelope.white331@community.org,Penelope,White,2014-06-08,participant,801-795-1040,Spanish Fork,UT,84336.0,East Ridge Middle,Both
P316,benjamin.thompson332@ellarises.org,Benjamin,Thompson,2009-02-04,participant,801-639-4470,Bountiful,UT,84224.0,BYU,Arts
P317,aurora.perez333@studentmail.org,Aurora,Perez,1999-01-12,participant,801-551-1793,Spanish Fork,UT,84808.0,East Ridge Middle,Both
P318,benjamin.johnson334@ellarises.org,Benjamin,Johnson,2007-08-06,participant,801-667-1011,Orem,UT,84452.0,Valley Charter,Both
P319,sofia.martin335@studentmail.org,Sofia,Martin,2003-08-14,participant,801-870-6905,Layton,UT,84096.0,East Ridge Middle,Arts
P320,chloe.brown336@community.org,Chloe,Brown,2007-08-18,participant,801-916-4836,Murray,UT,84744.0,Tech Apprenticeship,STEM
P321,elizabeth.smith337@studentmail.org,Elizabeth,Smith,2009-08-26,participant,801-335-4705,Spanish Fork,UT,84080.0,Tech Apprenticeship,Arts
P322,olivia.smith338@learners.net,Olivia,Smith,2008-09-18,participant,801-632-3165,Logan,UT,84881.0,East Ridge Middle,STEM
P323,hazel.garcia339@ellarises.org,Hazel,Garcia,2001-01-28,participant,801-576-5902,Logan,UT,84321.0,SLCC,STEM
P324,aria.jones340@ellarises.org,Aria,Jones,2012-02-02,participant,801-559-4490,Orem,UT,84451.0,Art Studio,STEM
P325,noah.flores341@community.org,Noah,Flores,2014-11-17,participant,801-302-3293,Sandy,UT,84089.0,East Ridge Middle,Both
P326,hazel.thompson342@community.org,Hazel,Thompson,2004-03-18,participant,801-343-5059,Lehi,UT,84811.0,Tech Apprenticeship,STEM
P327,addison.scott343@learners.net,Addison,Scott,2002-08-11,participant,801-874-5942,Salt Lake City,UT,84869.0,Cafe Rio,Both
P328,daniel.gonzalez344@community.org,Daniel,Gonzalez,2009-02-06,participant,801-255-4921,Murray,UT,84662.0,SLCC,STEM
P329,lillian.young345@ellarises.org,Lillian,Young,2005-02-05,participant,801-212-6916,Pleasant Grove,UT,84911.0,North Summit High,Arts
P330,oliver.white346@studentmail.org,Oliver,White,1998-05-17,participant,801-988-2195,Spanish Fork,UT,84978.0,Local Library,STEM
P331,olivia.taylor347@studentmail.org,Olivia,Taylor,2009-05-13,participant,801-261-7520,Provo,UT,84945.0,BYU,Both
P332,mateo.clark348@community.org,Mateo,Clark,2010-01-22,participant,801-855-9791,Bountiful,UT,84085.0,Local Library,STEM
P333,penelope.garcia349@learners.net,Penelope,Garcia,2010-01-12,participant,801-408-3545,Ogden,UT,84524.0,UVU,Arts
P334,harper.martin350@community.org,Harper,Martin,2007-09-30,participant,801-450-2412,West Jordan,UT,84060.0,East Ridge Middle,Arts
P335,amelia.martin351@studentmail.org,Amelia,Martin,2013-09-25,participant,801-924-3248,Logan,UT,84013.0,Westview High,STEM
P336,jackson.thompson352@learners.net,Jackson,Thompson,2014-06-10,participant,801-329-5403,Orem,UT,84381.0,Startup Lab,STEM
P337,sophia.perez353@community.org,Sophia,Perez,2013-12-23,participant,801-265-5308,Layton,UT,84537.0,Local Library,Both
P338,evelyn.young354@community.org,Evelyn,Young,2010-09-18,participant,801-256-9185,Pleasant Grove,UT,84369.0,North Summit High,Arts
P339,lily.taylor355@ellarises.org,Lily,Taylor,1998-01-22,participant,801-958-9336,Logan,UT,84234.0,Westview High,STEM
P340,addison.williams356@community.org,Addison,Williams,1998-10-17,participant,801-353-3932,Draper,UT,84393.0,Cafe Rio,Both
P341,oliver.anderson357@learners.net,Oliver,Anderson,2004-02-01,participant,801-937-6241,West Jordan,UT,84427.0,Community Center,STEM
P342,zoe.davis358@ellarises.org,Zoe,Davis,2006-12-29,participant,801-728-1752,Orem,UT,84229.0,East Ridge Middle,Arts
P343,aurora.martin359@learners.net,Aurora,Martin,2006-04-11,participant,801-667-1130,Ogden,UT,84567.0,Valley Charter,Arts
P344,brooklyn.flores360@studentmail.org,Brooklyn,Flores,2002-05-20,participant,801-805-9083,Riverton,UT,84378.0,Art Studio,Both
P345,olivia.perez362@ellarises.org,Olivia,Perez,2000-05-01,participant,801-955-6038,Bountiful,UT,84870.0,Valley Charter,Both
P346,lillian.clark363@community.org,Lillian,Clark,2000-02-02,participant,801-345-5584,Provo,UT,84996.0,Westview High,STEM
P347,michael.clark364@learners.net,Michael,Clark,2011-01-10,participant,801-965-2391,Riverton,UT,84998.0,East Ridge Middle,Both
P348,camila.sanchez365@ellarises.org,Camila,Sanchez,2003-04-24,participant,801-878-3141,Provo,UT,84446.0,BYU,Arts
P349,aaliyah.sanchez366@learners.net,Aaliyah,Sanchez,1999-09-04,participant,801-478-4827,Lehi,UT,84464.0,Valley Charter,STEM
P350,mila.martinez367@ellarises.org,Mila,Martinez,2007-02-13,participant,801-677-6145,Orem,UT,84461.0,East Ridge Middle,Both
P351,stella.wilson368@community.org,Stella,Wilson,2000-01-11,participant,801-471-2964,Murray,UT,84475.0,North Summit High,Both
P352,brooklyn.hill369@ellarises.org,Brooklyn,Hill,2000-01-18,participant,801-535-3430,Sandy,UT,84856.0,Art Studio,STEM
P353,stella.sanchez370@ellarises.org,Stella,Sanchez,2007-01-26,participant,801-378-1509,Murray,UT,84267.0,Community Center,Arts
P354,addison.miller371@community.org,Addison,Miller,1998-04-08,participant,801-343-2989,Logan,UT,84824.0,Westview High,STEM
P355,evelyn.johnson373@ellarises.org,Evelyn,Johnson,2000-11-21,participant,801-861-8265,Sandy,UT,84925.0,East Ridge Middle,Arts
P356,avery.williams374@community.org,Avery,Williams,2014-04-01,participant,801-787-8096,Provo,UT,84173.0,SLCC,Arts
P357,sophia.harris375@community.org,Sophia,Harris,2004-03-02,participant,801-419-4066,Orem,UT,84363.0,BYU,Arts
P358,scarlett.williams376@studentmail.org,Scarlett,Williams,1999-05-15,participant,801-621-8848,Murray,UT,84511.0,East Ridge Middle,Arts
P359,hazel.rodriguez377@community.org,Hazel,Rodriguez,2012-02-24,participant,801-738-5082,Sandy,UT,84659.0,Retail Store,Both
P360,emma.harris378@learners.net,Emma,Harris,2010-09-08,participant,801-696-6636,Spanish Fork,UT,84558.0,Cafe Rio,Arts
P361,hazel.moore379@studentmail.org,Hazel,Moore,1998-08-29,participant,801-811-4588,Salt Lake City,UT,84327.0,Startup Lab,Arts
P362,amelia.walker380@learners.net,Amelia,Walker,2003-07-24,participant,801-363-2640,West Jordan,UT,84998.0,Tech Apprenticeship,STEM
P363,paisley.wright381@ellarises.org,Paisley,Wright,2001-11-24,participant,801-597-6813,West Jordan,UT,84590.0,North Summit High,STEM
P364,aaliyah.thompson382@ellarises.org,Aaliyah,Thompson,2010-08-18,participant,801-781-3328,Draper,UT,84971.0,Valley Charter,Arts
P365,ethan.martin383@studentmail.org,Ethan,Martin,2003-03-21,participant,801-292-1920,Spanish Fork,UT,84039.0,Local Library,STEM
P366,emma.king384@community.org,Emma,King,2000-12-04,participant,801-828-4300,Salt Lake City,UT,84340.0,UVU,Both
P367,layla.lee385@ellarises.org,Layla,Lee,2000-06-27,participant,801-800-3320,Salt Lake City,UT,84152.0,Community Center,Both
P368,natalie.jones386@learners.net,Natalie,Jones,2004-10-08,participant,801-303-6514,Bountiful,UT,84601.0,UVU,STEM
P369,lily.ramirez387@community.org,Lily,Ramirez,2003-01-03,participant,801-924-6846,Lehi,UT,84179.0,Tech Apprenticeship,Both
P370,layla.harris388@learners.net,Layla,Harris,2013-09-29,participant,801-381-1029,Murray,UT,84131.0,Local Library,Arts
P371,isabella.lopez389@learners.net,Isabella,Lopez,2009-02-16,participant,801-779-2705,West Jordan,UT,84655.0,North Summit High,Arts
P372,evelyn.thomas390@learners.net,Evelyn,Thomas,2013-11-25,participant,801-851-2453,Lehi,UT,84172.0,Tech Apprenticeship,Both
P373,skylar.lewis391@ellarises.org,Skylar,Lewis,2005-11-11,participant,801-455-2110,Layton,UT,84215.0,BYU,STEM
P374,ava.brown392@community.org,Ava,Brown,2007-04-15,participant,801-629-3725,Riverton,UT,84751.0,Mountain View High,Arts
P375,kennedy.wright393@community.org,Kennedy,Wright,2001-08-25,participant,801-690-4695,Logan,UT,84849.0,Mountain View High,STEM
P376,isabella.jackson394@ellarises.org,Isabella,Jackson,2005-09-01,participant,801-307-2215,Lehi,UT,84268.0,North Summit High,Arts
P377,lily.jones395@ellarises.org,Lily,Jones,2013-10-20,participant,801-828-8909,Lehi,UT,84609.0,Westview High,Arts
P378,chloe.hill396@community.org,Chloe,Hill,2002-08-11,participant,801-303-6424,Orem,UT,84055.0,Valley Charter,Arts
P379,ethan.taylor397@learners.net,Ethan,Taylor,2006-10-24,participant,801-298-1813,Murray,UT,84244.0,Local Library,Both
P380,alexander.martinez398@ellarises.org,Alexander,Martinez,2004-08-09,participant,801-637-2435,Draper,UT,84004.0,Community Center,Both
P381,levi.gonzalez399@ellarises.org,Levi,Gonzalez,1999-11-03,participant,801-374-5781,Salt Lake City,UT,84212.0,Mountain View High,STEM
P382,bella.sanchez400@community.org,Bella,Sanchez,2000-01-17,participant,801-876-5341,Spanish Fork,UT,84917.0,Tech Apprenticeship,Both
P383,hazel.lopez401@learners.net,Hazel,Lopez,1999-01-01,participant,801-391-8303,Bountiful,UT,84379.0,BYU,Arts
P384,theodore.taylor402@studentmail.org,Theodore,Taylor,2014-11-15,participant,801-263-3476,Layton,UT,84578.0,Art Studio,Both
P385,elizabeth.garcia403@learners.net,Elizabeth,Garcia,2010-06-02,participant,801-974-4727,Taylorsville,UT,84995.0,Westview High,Arts
P386,michael.clark404@community.org,Michael,Clark,2006-11-09,participant,801-506-2293,West Jordan,UT,84488.0,Startup Lab,Both
P387,isabella.allen405@studentmail.org,Isabella,Allen,2001-11-17,participant,801-975-8357,Logan,UT,84973.0,North Summit High,STEM
P388,zoey.rodriguez406@ellarises.org,Zoey,Rodriguez,2002-07-13,participant,801-899-8133,Taylorsville,UT,84081.0,Community Center,Both
P389,aria.hill407@learners.net,Aria,Hill,1999-12-14,participant,801-944-2097,Lehi,UT,84933.0,SLCC,Both
P390,james.scott408@learners.net,James,Scott,2013-09-16,participant,801-669-1202,Layton,UT,84533.0,Local Library,Both
P391,michael.clark409@ellarises.org,Michael,Clark,2000-05-15,participant,801-351-2641,Taylorsville,UT,84154.0,Local Library,STEM
P392,aurora.wright410@learners.net,Aurora,Wright,2010-10-31,participant,801-592-8955,Taylorsville,UT,84271.0,Local Library,Arts
P393,isabella.lopez411@learners.net,Isabella,Lopez,1998-11-14,participant,801-833-7581,Bountiful,UT,84148.0,SLCC,Arts
P394,lillian.brown412@community.org,Lillian,Brown,2005-07-30,participant,801-581-1331,Layton,UT,84919.0,Community Center,Arts
P395,bella.moore413@community.org,Bella,Moore,2004-09-27,participant,801-433-3201,Logan,UT,84996.0,Art Studio,Arts
P396,claire.moore414@community.org,Claire,Moore,2007-02-18,participant,801-652-4463,Ogden,UT,84193.0,Art Studio,Arts
P397,michael.white415@ellarises.org,Michael,White,2004-12-23,participant,801-362-2075,Pleasant Grove,UT,84811.0,Art Studio,Both
P398,liam.rodriguez416@ellarises.org,Liam,Rodriguez,2003-08-06,participant,801-405-1944,Orem,UT,84198.0,Westview High,Arts
P399,charlotte.white417@studentmail.org,Charlotte,White,2006-11-26,participant,801-675-9275,Layton,UT,84378.0,Tech Apprenticeship,STEM
P400,sophia.thomas418@learners.net,Sophia,Thomas,2008-08-23,participant,801-656-3909,Spanish Fork,UT,84609.0,Local Library,Both
P401,kennedy.thompson419@studentmail.org,Kennedy,Thompson,2004-05-24,participant,801-905-2480,Layton,UT,84767.0,Westview High,Arts
P402,charlotte.hernandez420@studentmail.org,Charlotte,Hernandez,2004-01-14,participant,801-430-4387,West Jordan,UT,84663.0,Tech Apprenticeship,Arts
P403,daniel.johnson421@ellarises.org,Daniel,Johnson,2011-06-26,participant,801-335-3837,Spanish Fork,UT,84934.0,Retail Store,STEM
P404,victoria.taylor422@learners.net,Victoria,Taylor,2008-04-18,participant,801-585-6713,Layton,UT,84434.0,BYU,STEM
P405,theodore.martin423@community.org,Theodore,Martin,2010-08-05,participant,801-723-7131,Logan,UT,84008.0,Tech Apprenticeship,Both
P406,aurora.martin424@ellarises.org,Aurora,Martin,2012-05-14,participant,801-544-5529,Spanish Fork,UT,84066.0,UVU,Arts
P407,lucy.martin425@studentmail.org,Lucy,Martin,1999-04-11,participant,801-983-4937,St. George,UT,84530.0,Retail Store,Both
P408,liam.lee426@studentmail.org,Liam,Lee,2003-10-27,participant,801-709-5843,Salt Lake City,UT,84672.0,Startup Lab,Arts
P409,liam.harris427@ellarises.org,Liam,Harris,2013-05-24,participant,801-943-4643,Sandy,UT,84352.0,Cafe Rio,Both
P410,jack.thompson428@learners.net,Jack,Thompson,2004-08-03,participant,801-873-3967,Orem,UT,84861.0,East Ridge Middle,Arts
P411,sofia.taylor429@studentmail.org,Sofia,Taylor,2005-12-20,participant,801-291-4641,Lehi,UT,84671.0,Valley Charter,Both
P412,bella.clark430@learners.net,Bella,Clark,2008-05-27,participant,801-799-5817,Draper,UT,84267.0,Community Center,STEM
P413,jack.brown431@ellarises.org,Jack,Brown,2000-09-08,participant,801-399-9199,Spanish Fork,UT,84911.0,Community Center,Both
P414,leah.king432@learners.net,Leah,King,2002-06-29,participant,801-354-3250,Taylorsville,UT,84056.0,UVU,Arts
P415,benjamin.martinez433@learners.net,Benjamin,Martinez,2005-06-17,participant,801-282-8988,Orem,UT,84798.0,Tech Apprenticeship,STEM
